,founder,wasFaang
666,Andrew Airelobhegbe,0
667,Andrew Ambrosino,1
668,Andrew Antos,0
669,Andrew Arruda,0
670,Andrew Ashur,0
671,Andrew Badr,0
672,Andrew Barnes,0
673,Andrew Bass,0
674,Andrew Browning,0
675,Andrew Chang,1
676,Andrew Chen,0
677,Andrew Chung,0
678,Andrew Coyle,1
679,Andrew Dietrich,0
680,Andrew Dolinski,0
681,Andrew Dudley,0
682,Andrew Faust,0
683,Andrew Fayad,0
684,Andrew Fleischer,0
685,Andrew Fong,0
686,Andrew Garazha,0
687,Andrew Gardner,0
688,Andrew Gibiansky,0
689,Andrew Gold,1
690,Andrew Hoskins,0
691,Andrew Hsu,0
692,Andrew Huff,0
693,Andrew Israel,0
694,Andrew Jajack,0
695,Andrew Kieve,0
696,Andrew Kim,0
697,Andrew King,0
698,Andrew Kouri,0
699,Andrew Kruegel,0
700,Andrew Kung,0
701,Andrew Kurland,0
702,Andrew Lawson,0
703,Andrew Lee,1
704,Andrew Levy,0
705,Andrew Lim,0
706,Andrew Liu,0
707,Andrew Luo,0
708,Andrew Mangan,0
709,Andrew Martin,0
710,Andrew Martz,0
711,Andrew Mason,0
712,Andrew Mass,0
713,Andrew McCalister,0
714,Andrew McCollum,1
715,Andrew McEwen,0
716,Andrew Miklas,1
717,Andrew Nedea,0
718,Andrew Ng,0
719,Andrew Ninh,0
720,Andrew Norris,0
721,Andrew Ow,0
722,Andrew Pareles,0
723,Andrew Parker,0
724,Andrew Paterson,0
725,Andrew Peek,0
726,Andrew Seddon,0
727,Andrew Song,0
728,Andrew Sugaya,0
729,Andrew Tang,0
730,Andrew Tjang,0
731,Andrew Torba,0
732,Andrew Wagner,0
733,Andrew Walker,0
734,Andrew Weitz,0
735,Andrew Yaroshevsky,1
736,Andrew Yates,1
737,Andrew Zelaya,0
738,Andrew Zhou,0
739,Andrey Klen,0
740,Andrey Los,0
741,Andrey Petrov,1
742,André Frirdich,0
743,André Kauffman Zolnerkevic,0
744,André Woodley Jr,0
745,Andrés González - Olaechea,0
746,Andrés Guerrero Álvarez,0
747,Andrés Iriarte,0
748,Andrés Vélez,0
749,Andy Brett,0
750,Andy Choi,0
751,Andy Day,0
752,Andy Fang,1
753,Andy Huibers,1
754,Andy Kim,0
755,Andy Lapsa,0
756,Andy Lee,0
757,Andy Li,0
758,Andy Moon,0
759,Andy Norborg,0
760,Andy Rink,0
761,Andy Roberts,0
762,Andy Russell,1
763,Andy Su,0
764,Andy Sudarman,0
765,Andy Tsen,0
766,Andy Wang,0
767,Andy Yeung,0
768,Andy Zhang,0
769,Aneeq Dholakia,0
770,Aneesh Karve,0
771,Anelya Grant,0
772,Angel Arias,0
773,Angel Poon,0
774,Angela Castillo,0
775,Angela Dao,0
776,Angela Edwards,0
777,Angela Essien,0
778,Angela Ferrante,0
779,Angela Hoover,0
780,Angela Liu,1
781,Angelica Schwartz,0
782,Angelo (KC) Huang,0
783,Angie Muller,0
784,Angus Parsonson,0
785,Anh-Tho CHUONG,0
786,Anh-Tuan Bui,0
787,Anhang Zhu,1
788,Anhuan Xie,0
789,Ani Gottiparthy,0
790,Ania Lipinska,0
791,Anika Zaman,0
792,Aniket Gupta,0
793,Anil Meena,0
794,Anil Sevim,0
795,Anin Sayana,0
796,Anirban Gangopadhyay,0
797,Aniruddh Singh,0
798,Anirudh Gubba,1
799,Anirudh Rahul,0
800,Anirudh Sriram,0
801,Anis Abdeddine,0
802,Anisa Mirza,0
803,Anish Agrawal,0
804,Anish Dhar,0
805,Anish Doshi,0
806,Anish Kumar,0
807,Anish Tondwalkar,0
808,Anji Ismail,0
809,Anjie Liu,0
810,Anker Ryhl,0
811,Ankit Goyal,0
812,Ankit Jain,1
813,Ankit Khandelwal,0
814,Ankit Nayan,0
815,Ankit Shrivastava,0
816,Ankit Singhal,0
817,Ankita Ghoshal,0
818,Ankita Sharma,0
819,Ankur Gupta,0
820,Ankur Rustagi,0
821,Ankur Solanki,0
822,Ankush Singh,0
823,Anmol Arora,0
824,Anmol Sood,0
825,Anmol Warman,0
826,Ann Chan,1
827,Ann Johnson,0
828,Anna Berger,0
829,Anna Jeter,0
830,Anna Joo Fee,0
831,Anna Kazlauskas,0
832,Anna Matalon,0
833,Anna Monaco,0
834,Anna Perdrix Rosell,0
835,Anna Pojawis,0
836,Anna Santeramo,0
837,Anna Sun,1
838,Anna Wang,1
839,Anna Western,0
840,Anna-Sophie Hartvigsen,0
841,Annabell V.,0
842,Anne-Charlotte Chauvet,0
843,Annie Hwang,0
844,Anoop Jain,0
845,Anoop Jaiswal,0
846,Ans Syuhada,0
847,Ansel Parikh,0
848,Anson Kung,0
849,Anson Tsai,0
850,Anson Tsui,0
851,Anta Pattabiraman,0
852,Antanas Zilinskas,0
853,Anthony Cirinelli,0
854,Anthony Crivolio,0
855,Anthony Garcia,0
856,Anthony Ko,0
857,Anthony Krivonos,0
858,Anthony Nemitz,0
859,Anthony Oduwole,0
860,Anthony Romero,0
861,Anthony Scarpone-Lambert,0
862,Anthony Trasatti,0
863,Anthony Valente,0
864,Anthony Wagacha,0
865,Antoine Boulanger,1
866,Antoine Carossio,0
867,Antoine Hersen,0
868,Antoine Nguyen Hong Duc,0
869,Antoine de Chevigné,0
870,Antoine de Maleprade,0
871,Anton Brevde,0
872,Anton Buzdin,0
873,Anton Koenig,0
874,Anton Krutiansky,0
875,Anton Mishchenko,0
876,Anton Otaner,0
877,Anton Pluschke,0
878,Anton Svetlov,0
879,Anton Vaisburd,0
880,Anton Vaynshtok,1
881,Antoni Rosinol,0
882,Antonia San Martin,0
883,Antonio Correa,0
884,Antonio Garcia-Martinez,1
885,Antonio García Aprea,0
886,Antonio Gonzalez,0
887,Antonio Longoria,0
888,Antonio Sierra,0
889,Antonio Torres,0
890,Antonio Tralice,0
891,Antonis Mitropoulos,0
892,Antony Bello,1
893,Anu Parvatiyar,0
894,Anu Sridharan,0
895,Anubhav Malik,0
896,Anuhya Vajapey,0
897,Anuj Gupta,0
898,Anuj Jain,0
899,Anuj Mehta,0
900,Anuja Verma,0
901,Anuraag Jain,0
902,Anuraag Nallapati,0
903,Anuraag Yachamaneni,0
904,Anurag Bhatt,0
905,Anurag Chutani,0
906,Anurag Varma,0
907,Anushka Nijhawan,0
908,Anushree Goenka,0
909,Anvisha Pai,1
910,Anya Roy,0
911,Aparna Dhinakaran,1
912,Aparna Ramanathan,0
913,Apoorva Sharma,0
914,Apoorva Singh,0
915,Apoorve Singhal,0
916,Apostolos Atsalakis,0
917,April Chang,0
918,Apurv Gupta,0
919,Aquibur Rahman,0
920,Arad Rostampour,0
921,Arash Ferdowsi,0
922,Arash Khazaei,0
923,Aravindh Dorai,0
924,Arbaz Khatib,0
925,Arcadiy Golubovich,0
926,Archa Jain,1
927,Archit Gupta,0
928,Arda Goreci,0
929,Arda Kara,0
930,Aren Sandersen,0
931,Arend Naylor,0
932,Argyrios Zymnis,0
933,Arhan Chhabra,0
934,Ari Baranian,0
935,Ari Helgason,0
936,Ari Malik,0
937,Ari Recht,0
938,Ari Wax,0
939,Aric Lasry,1
940,Ariel Braunstein,1
941,Ariel Camus,0
942,Ariel Diaz Ailan,0
943,Ariel Katz,0
944,Arif Bhanji,0
945,Arjun Bisen,1
946,Arjun Dixit,0
947,Arjun Iyer,0
948,Arjun Mohan,0
949,Arjun Murthy,0
950,Arjun Naskar,0
951,Arjun Patel,0
952,Arjun Paul,0
953,Arjun Sahai,0
954,Arjun Soin,0
955,Arjun Vasan,0
956,Arko C,0
957,Armaan Sikand,0
958,Armando Biondi,0
959,Armando Solbes,0
960,Armel Talla,0
961,Arnau Navarro,0
962,Arnaud Douceur,1
963,Arnaud Porterie,0
964,Arnav Joshi,0
965,Arnelle Ansong,1
966,Arni Hermann Reynisson,0
967,Arnold Villatoro,0
968,Arosha Brouwer,0
969,Arpan Rau,0
970,Arpit Agarwal,0
971,Arpit Mohan,0
972,Arpit Rao,0
973,Arpit Saxena,0
974,Arram Sabeti,0
975,Arsalan Bashir,0
976,Arsh Mand,0
977,Arsh Shah Dilbagi,1
978,Art Agrawal,0
979,Artem Artemiuk,0
980,Artem Avdacev,0
981,Artem Bugara,0
982,Artem Golubev,0
983,Artem Pasyechnyk,1
984,Artem Ptashnik,0
985,Artem T. Middleton,0
986,Artemi Krymski,0
987,Arthur (Hyun June) Kim,0
988,Arthur Alvarenga,0
989,Arthur Chang,0
990,Arthur Coudouy,0
991,Arthur Gibson,0
992,Arthur Lorotte de Banes,0
993,Arthur Querou,0
994,Arthur Wu,0
995,Arthus de Saint Chaffray,0
996,Artur Adib,0
997,Artur Menzeleev,0
998,Artur Ribas,0
999,Arun Kirubarajan,0
1000,Arun Saigal,1
1001,Arun Thulasidharan,0
1002,Arun Vijayvergiya,1
1003,Arup Roy-Burman,0
1004,Arvind Singh,0
1005,Arvind Sontha,0
1006,Arvind Subramanian,0
1007,Arya Bastani,0
1008,Aryan Agarwal,0
1009,Aryan Lobie,0
1010,Asa Miller,0
1011,Asaf Amit,0
1012,Asankhaya Sharma,0
1013,Aschkan Abdul Malek,0
1014,Aseem Gupta,0
1015,Asehinde Oladipo,0
1016,Ash Rhazaly,0
1017,Ashby Foltz,0
1018,Asher  Adeniyi,0
1019,Asher King-Abramson,0
1020,Ashi Agrawal,0
1021,Ashi Dissanayake,0
1022,Ashish  Dubey,0
1023,Ashish Advani,0
1024,Ashish Bajaj,0
1025,Ashish Singh,0
1026,Ashish Sonone,0
1027,Ashley Privette,0
1028,Ashley Wong,0
1029,Ashot Ayvazyan,0
1030,Ashraf Samhouri,0
1031,"Ashutosh ""Ash"" Nayak",0
1032,Ashutosh Chilkoti,0
1033,Ashutosh Joshi,0
1034,Ashutosh Pathak,0
1035,Ashutosh Priyadarshy,0
1036,Ashutosh Purohit,0
1037,Ashutosh Saxena,0
1038,Ashwarya Singh,1
1039,Ashwin Amurthur,0
1040,Ashwin Balamohan,0
1041,Ashwin Kamath,1
1042,Ashwin Nandakumar,0
1043,Ashwin Venkatesh Raman,0
1044,Asi Sivan,0
1045,Asif Rahman,0
1046,Asim Hirji,0
1047,Asim Shrestha,0
1048,Asima Ahmad,0
1049,Asjid Kalam,0
1050,Aske Ertmann,0
1051,Askhat Omarov,0
1052,Assaf Geuz,0
1053,Aston Motes,1
